device,train_rows_raw,train_days,target_count,target_mean,target_std,target_nunique,target_nonzero_ratio,target_zero_ratio,target_p95,target_max,target_min,y_15_count,y_15_mean,y_15_std,y_15_nunique,y_15_nonzero_ratio,y_15_zero_ratio,y_15_p95,y_15_max,y_15_min,y_30_count,y_30_mean,y_30_std,y_30_nunique,y_30_nonzero_ratio,y_30_zero_ratio,y_30_p95,y_30_max,y_30_min,train_rows_labeled,min_y_nunique,min_y_std,min_y_nonzero_ratio,prefilter_reason,pass_target_prefilter
10020b75-e523-45b8-8905-4763865d6e19,17855,210,17855,54.40325585736955,40.711704953341794,528,0.6761131335760291,0.32388686642397085,101.5,105.33333333333331,0.0,11763,80.85882002890419,18.487446898690155,524,0.9997449630196379,0.0002550369803621525,102.0,105.33333333333331,0.0,11689,80.89924715544531,18.462769178356627,523,0.9997433484472581,0.0002566515527418941,102.0,105.33333333333331,0.0,11683,523,18.462769178356627,0.9997433484472581,,True
e43f8a7a-2d75-4902-a1a0-27748f978ebd,12086,145,12086,34.40712946108445,25.98262042347288,663,0.9535826576203872,0.04641734237961277,80.0,86.0,0.0,11392,35.13489583333333,25.572435666178396,663,0.983936095505618,0.016063904494382022,80.0,86.0,0.0,11323,35.07098236627513,25.556854844922142,663,0.9838382054225911,0.016161794577408815,80.0,86.0,0.0,11312,663,25.556854844922142,0.9838382054225911,,True
7f1a43fb-9559-4d4c-af83-aadca7fd6686,12980,157,12980,52.81194658448896,32.67234870196416,313,0.7406779661016949,0.2593220338983051,77.0,84.0,0.0,10996,60.38655571723051,27.643697799256003,313,0.8464896325936704,0.15351036740632956,77.0,84.0,0.0,10925,60.313430968726166,27.69583316553472,313,0.845675057208238,0.154324942791762,77.0,84.0,0.0,10919,313,27.643697799256003,0.845675057208238,,True
ea267c5-5e6f-4cd9-80d9-fd8817f4b807,17201,202,17201,34.6793500377885,36.39756615494889,506,0.5527585605488053,0.4472414394511947,79.5,85.0,0.0,10241,57.21583992448654,29.877995426380412,506,0.9143638316570647,0.08563616834293526,80.0,85.0,0.0,10214,57.203617583708635,29.88962453868414,505,0.9141374583904445,0.08586254160955552,80.0,85.0,0.0,10213,505,29.877995426380412,0.9141374583904445,,True
79e54d03-0f0f-41f8-a6a8-d6e2dbf7e012,11772,150,11772,31.93661088458489,29.406811632964526,414,0.8634896364254162,0.13651036357458377,75.66666666666667,82.0,0.0,10262,36.090442084064186,28.81277651750996,413,0.9651140128629897,0.03488598713701033,76.0,82.0,0.0,10184,36.220398009950245,28.809635551169123,413,0.9659269442262373,0.03407305577376277,76.0,82.0,0.0,10182,413,28.809635551169123,0.9651140128629897,,True
788824e1-39d8-468d-baa1-c0649a20fb08,13125,157,13125,29.665002811791386,29.72488315271867,626,0.7149714285714286,0.2850285714285714,80.0,86.0,0.0,9134,41.58915355500642,27.33640861009348,626,0.996496606087147,0.0035033939128530766,80.66666666666667,86.0,0.0,9070,41.67776500236258,27.341102982748595,626,0.9964718853362734,0.0035281146637265713,80.66666666666667,86.0,0.0,9022,626,27.33640861009348,0.9964718853362734,,True
e2387f36-6cbe-43de-84b4-539f74567499,11317,138,11317,62.73819916939118,30.68019235568659,91,0.808429795882301,0.19157020411769904,82.0,87.0,0.0,8913,77.59927820786118,3.2161101279774633,90,1.0,0.0,82.66666666666667,87.0,49.0,8854,77.59357729086665,3.2114055576262266,90,1.0,0.0,82.66666666666667,87.0,49.0,8848,90,3.2114055576262266,1.0,,True
ade6f3b3-abdd-4343-9b96-3007337822ac,10828,140,10828,39.469023211427164,33.59235501264083,381,0.726727004063539,0.27327299593646104,77.0,82.0,0.0,7663,54.363097568402274,27.249495989301636,381,0.9992170168341381,0.000782983165861934,77.33333333333333,82.0,0.0,7613,54.37873812338543,27.23758664740683,381,0.9992118744253251,0.0007881255746748983,77.33333333333333,82.0,0.0,7607,381,27.23758664740683,0.9992118744253251,,True
684ce2ca-716e-47f0-a3b8-5cc60395f4a2,8401,110,8401,21.67656628179185,19.67097539568639,302,0.7126532555648137,0.28734674443518626,59.0,84.0,0.0,5939,30.29070550597744,16.580788979999404,300,1.0,0.0,62.66666666666666,84.0,2.5,5909,30.2289163423027,16.557383008131175,300,1.0,0.0,62.66666666666666,84.0,2.5,5907,300,16.557383008131175,1.0,,True
43509ccb-0613-415f-9115-b9a1732a9c0c,11913,144,11913,18.18530177117435,28.543491775853226,238,0.4237387727692437,0.5762612272307563,76.0,78.5,0.0,4882,42.964017479175205,29.20226678272958,237,1.0,0.0,77.0,78.5,3.0,4836,42.862696443341605,29.16217869600491,236,1.0,0.0,77.0,78.5,3.0,4833,236,29.16217869600491,1.0,,True
7ceee0a4-350f-401d-82a8-2bda9832268e,5669,139,5669,42.87831481154819,36.5293264048663,61,0.5801728699947081,0.4198271300052919,76.0,81.0,0.0,3170,73.89232386961095,2.7802681381360057,59,0.9996845425867508,0.0003154574132492114,77.0,81.0,0.0,3084,73.8876999567661,2.8014636159276227,58,0.9996757457846952,0.00032425421530479895,77.0,79.0,0.0,3082,58,2.7802681381360057,0.9996757457846952,,True
cc74202d-eb54-4e29-886f-e08d0f0ba1cd,4996,142,4996,33.184347477982385,37.489302205606705,72,0.4455564451561249,0.5544435548438751,78.0,81.0,0.0,2081,74.37786320679162,9.341836963170014,71,0.9990389235944258,0.0009610764055742432,79.0,81.0,0.0,2011,74.36350074589757,9.424926750701777,68,0.9990054699154649,0.000994530084535057,79.0,81.0,0.0,2008,68,9.341836963170014,0.9990054699154649,,True
