device,train_rows_raw,train_days,target_count,target_mean,target_std,target_nunique,target_nonzero_ratio,target_zero_ratio,target_p95,target_max,target_min,y_15_count,y_15_mean,y_15_std,y_15_nunique,y_15_nonzero_ratio,y_15_zero_ratio,y_15_p95,y_15_max,y_15_min,y_30_count,y_30_mean,y_30_std,y_30_nunique,y_30_nonzero_ratio,y_30_zero_ratio,y_30_p95,y_30_max,y_30_min,train_rows_labeled,min_y_nunique,min_y_std,min_y_nonzero_ratio,prefilter_reason,pass_target_prefilter
10020b75-e523-45b8-8905-4763865d6e19,17855,210,17855,9735.041566229678,21332.97500744733,11387,0.643069168300196,0.356930831699804,43377.598046875,164682.1669921875,0.0,11763,14486.01729155436,24793.72654858698,11135,0.9502677888293802,0.04973221117061974,69835.67885437011,164682.1669921875,0.0,11689,14503.536039140461,24846.78017298423,11063,0.9499529472153306,0.050047052784669345,69903.03177909854,164682.1669921875,0.0,11683,11063,24793.72654858698,0.9499529472153306,,True
e43f8a7a-2d75-4902-a1a0-27748f978ebd,12086,145,12086,4705.403146383936,5474.571983384591,11557,0.9578851563792818,0.042114843620718184,18188.213704427082,28549.0859375,0.0,11392,4846.506954370009,5509.975715277074,11260,0.988500702247191,0.011499297752808989,18811.143554687493,28549.0859375,0.0,11323,4842.425138931838,5508.118881172039,11191,0.9884306279254614,0.01156937207453855,18805.024804687488,28549.0859375,0.0,11312,11191,5508.118881172039,0.9884306279254614,,True
7f1a43fb-9559-4d4c-af83-aadca7fd6686,12980,157,12980,5442.447193615419,4806.164064748636,9393,0.7243451463790447,0.2756548536209553,14502.99462280273,21617.8515625,0.0,10996,6234.754590147729,4619.386788512812,9115,0.8290287377228083,0.1709712622771917,14997.69942220052,21617.8515625,0.0,10925,6230.475533205908,4618.973349224491,9046,0.8281006864988558,0.17189931350114415,14979.663313802075,21617.8515625,0.0,10919,9046,4618.973349224491,0.8281006864988558,,True
ea267c5-5e6f-4cd9-80d9-fd8817f4b807,17201,202,17201,5060.407316139996,7958.9648426680005,7765,0.43137026917039706,0.5686297308296029,21772.95288085937,52533.74609375,0.0,10241,8290.4632202893,8740.739587437683,7633,0.7117468997168245,0.28825310028317547,24718.85888671875,52533.74609375,0.0,10214,8280.032656079446,8731.27080768461,7615,0.7118660661836694,0.2881339338163305,24684.691365559902,52533.74609375,0.0,10213,7615,8731.27080768461,0.7117468997168245,,True
79e54d03-0f0f-41f8-a6a8-d6e2dbf7e012,11772,150,11772,2399.6812706882088,3940.45255281458,9685,0.8228848114169215,0.17711518858307848,11786.149121093746,21634.1328125,0.0,10262,2714.967702774464,4085.3397942039346,9455,0.9213603586045606,0.07863964139543948,12184.010595703121,21634.1328125,0.0,10184,2726.575297232041,4088.843028227504,9396,0.9226237234878241,0.07737627651217596,12205.864672851563,21634.1328125,0.0,10182,9396,4085.3397942039346,0.9213603586045606,,True
788824e1-39d8-468d-baa1-c0649a20fb08,13125,157,13125,3123.482817295887,5358.809115518751,6655,0.4165333333333333,0.5834666666666667,14860.715624999995,31300.03125,0.0,9134,4383.998079379105,5879.661065511788,6558,0.5836435296693672,0.4163564703306328,16372.976440429693,31198.140625,0.0,9070,4390.556401782211,5878.493069825912,6519,0.5842337375964719,0.4157662624035281,16366.159529622393,31198.140625,0.0,9022,6519,5878.493069825912,0.5836435296693672,,True
e2387f36-6cbe-43de-84b4-539f74567499,11317,138,11317,3664.217859498176,2501.7565517103662,9136,0.808429795882301,0.19157020411769904,8175.02568359375,11431.619140625,0.0,8913,4532.328203046491,1935.817002515741,8911,1.0,0.0,8286.343066406249,11431.619140625,39.22776540120444,8854,4532.501182034027,1932.8918146331187,8852,1.0,0.0,8284.202099609376,11431.619140625,39.22776540120444,8848,8852,1932.8918146331187,1.0,,True
ade6f3b3-abdd-4343-9b96-3007337822ac,10828,140,10828,38494.41647779886,101464.63143681682,7571,0.7198005171776874,0.2801994828223125,253654.22128906235,474938.4375,0.0,7663,53326.95014986467,116272.04286155693,7377,0.9894297272608639,0.010570272739136109,460777.03958333324,474938.4375,0.0,7613,53310.79884550784,116258.64340323235,7327,0.9893603047418889,0.010639695258111126,460668.07083333324,474938.4375,0.0,7607,7327,116258.64340323235,0.9893603047418889,,True
684ce2ca-716e-47f0-a3b8-5cc60395f4a2,8401,110,8401,344.9430506925179,2205.682227504641,1947,0.18081180811808117,0.8191881918819188,38.2179908752441,39350.29296875,0.0,5939,481.87710247539195,2602.8203993332663,1930,0.25223101532244485,0.7477689846775551,2424.8606169382706,39350.29296875,0.0,5909,473.96900327482575,2556.7828032259763,1916,0.25114232526654257,0.7488576747334574,2418.8958747863758,39350.29296875,0.0,5907,1916,2556.7828032259763,0.25114232526654257,,True
43509ccb-0613-415f-9115-b9a1732a9c0c,11913,144,11913,2344.1237020700423,5137.3860184894,2150,0.1808108788718207,0.8191891211281793,14816.541210937501,23290.5625,0.0,4882,5515.658430996251,6682.853662235697,2075,0.42503072511265877,0.5749692748873413,16796.042041015622,23290.5625,0.0,4836,5487.665790836576,6676.721582837477,2045,0.4228701406120761,0.5771298593879239,16786.676025390625,23290.5625,0.0,4833,2045,6676.721582837477,0.4228701406120761,,True
