device,best_model,best_params,selected_by,scaler_type,winsorized_feature_count,VAL_MAE_15m,VAL_RMSE_15m,VAL_sMAPE_15m,VAL_R2_15m,VAL_MAE_30m,VAL_RMSE_30m,VAL_sMAPE_30m,VAL_R2_30m,VAL_MAE_avg,VAL_RMSE_avg,VAL_sMAPE_avg,VAL_R2_avg,TEST_MAE_15m,TEST_RMSE_15m,TEST_sMAPE_15m,TEST_R2_15m,TEST_MAE_30m,TEST_RMSE_30m,TEST_sMAPE_30m,TEST_R2_30m,TEST_MAE_avg,TEST_RMSE_avg,TEST_sMAPE_avg,TEST_R2_avg,VAL_MAE_15m_meta,VAL_RMSE_15m_meta,VAL_sMAPE_15m_meta,VAL_R2_15m_meta,VAL_MAE_30m_meta,VAL_RMSE_30m_meta,VAL_sMAPE_30m_meta,VAL_R2_30m_meta,VAL_MAE_avg_meta,VAL_RMSE_avg_meta,VAL_sMAPE_avg_meta,VAL_R2_avg_meta,TEST_MAE_15m_meta,TEST_RMSE_15m_meta,TEST_sMAPE_15m_meta,TEST_R2_15m_meta,TEST_MAE_30m_meta,TEST_RMSE_30m_meta,TEST_sMAPE_30m_meta,TEST_R2_30m_meta,TEST_MAE_avg_meta,TEST_RMSE_avg_meta,TEST_sMAPE_avg_meta,TEST_R2_avg_meta,MAE_15m,MAE_30m,MAE_avg,RMSE_15m,RMSE_30m,RMSE_avg,R2_15m,R2_30m,R2_avg,sMAPE_15m,sMAPE_30m,sMAPE_avg
684ce2ca-716e-47f0-a3b8-5cc60395f4a2,XGBoost,,,,15,604.4239501953125,2063.360729489635,190.38798835950783,0.4228604574178143,735.1831665039062,2403.262262009704,191.19902367123908,0.2170483767695852,669.8035583496094,2233.3114957496696,190.79350601537345,0.3199544170936997,540.53662109375,2080.7904747955763,189.21602448623773,0.3168437305710642,663.1079711914062,2359.194036106399,190.93693595624117,0.1224426159986847,601.8222961425781,2219.992255450988,190.07648022123945,0.2196431732848744,604.4239501953125,2063.360729489635,190.38798835950786,0.4228604574178143,735.1831665039062,2403.262262009704,191.19902367123908,0.21704837676958522,669.8035583496094,2233.3114957496696,190.79350601537345,0.31995441709369976,540.53662109375,2080.7904747955763,189.21602448623773,0.3168437305710642,663.1079711914062,2359.194036106399,190.93693595624114,0.12244261599868478,601.8222961425781,2219.9922554509876,190.07648022123942,0.21964317328487448,540.53662109375,663.1079711914062,601.8222961425781,2080.7904747955763,2359.194036106399,2219.992255450988,0.3168437305710642,0.1224426159986847,0.2196431732848744,189.21602448623773,190.93693595624117,190.07648022123945
43509ccb-0613-415f-9115-b9a1732a9c0c,XGBoost,,,,15,792.898193359375,1761.6517817094275,140.25442124665116,0.9213073723361174,1020.1981201171876,2368.4901308639646,141.30539532238632,0.8577549927704887,906.5481567382812,2065.070956286696,140.77990828451874,0.889531182553303,1252.8966064453125,2276.101052238235,115.38975837440032,0.8807533064282508,1515.8941650390625,2766.259387693063,116.273127224938,0.8233690834557472,1384.3953857421875,2521.180219965649,115.83144279966916,0.852061194941999,792.898193359375,1761.6517817094275,140.25442124665116,0.9213073723361174,1020.1981201171875,2368.4901308639646,141.30539532238632,0.8577549927704887,906.5481567382812,2065.070956286696,140.77990828451874,0.889531182553303,1252.8966064453125,2276.101052238235,115.38975837440032,0.8807533064282508,1515.8941650390625,2766.259387693063,116.273127224938,0.8233690834557472,1384.3953857421875,2521.180219965649,115.83144279966916,0.852061194941999,1252.8966064453125,1515.8941650390625,1384.3953857421875,2276.101052238235,2766.259387693063,2521.180219965649,0.8807533064282508,0.8233690834557472,0.852061194941999,115.38975837440032,116.273127224938,115.83144279966916
e43f8a7a-2d75-4902-a1a0-27748f978ebd,XGBoost,,,,15,1052.7423095703125,2080.8282005009446,25.28447535155772,0.394326694629635,1237.424560546875,2265.480854035187,30.44157406471268,0.2796295139897526,1145.0834350585938,2173.154527268066,27.8630247081352,0.3369781043096938,1534.22119140625,3066.17693553389,33.80343358503934,0.1136596620115357,1903.49365234375,3405.3917542626427,42.626368030206,-0.0989702003590189,1718.857421875,3235.7843448982667,38.21490080762267,0.0073447308262584,1052.7423095703125,2080.8282005009446,25.284475351557717,0.394326694629635,1237.424560546875,2265.480854035187,30.44157406471268,0.27962951398975266,1145.0834350585938,2173.154527268066,27.8630247081352,0.3369781043096938,1534.22119140625,3066.1769355338906,33.80343358503934,0.11365966201153577,1903.49365234375,3405.3917542626427,42.626368030205995,-0.09897020035901893,1718.857421875,3235.7843448982667,38.21490080762267,0.0073447308262584166,1534.22119140625,1903.49365234375,1718.857421875,3066.17693553389,3405.3917542626427,3235.7843448982667,0.1136596620115357,-0.0989702003590189,0.0073447308262584,33.80343358503934,42.626368030206,38.21490080762267
e2387f36-6cbe-43de-84b4-539f74567499,XGBoost,,,,15,922.6914672851562,1218.0532623822326,19.0353908554676,0.6950721260529823,1331.9444580078125,1755.873998896276,26.72424002566488,0.3694863592728135,1127.3179626464844,1486.9636306392545,22.87981544056624,0.532279242662898,1507.677978515625,2016.632279321146,29.576892722538474,0.3829235671718793,2022.3336181640625,2552.1443924668524,39.1156302974509,0.0119661710394411,1765.0057983398438,2284.3883358939997,34.34626150999469,0.1974448691056602,922.6914672851562,1218.0532623822326,19.035390855467597,0.6950721260529823,1331.9444580078125,1755.8739988962761,26.72424002566488,0.3694863592728135,1127.3179626464844,1486.9636306392545,22.87981544056624,0.532279242662898,1507.677978515625,2016.632279321146,29.576892722538474,0.38292356717187936,2022.3336181640625,2552.1443924668524,39.1156302974509,0.011966171039441198,1765.0057983398438,2284.3883358939993,34.34626150999469,0.19744486910566028,1507.677978515625,2022.3336181640625,1765.0057983398438,2016.632279321146,2552.1443924668524,2284.3883358939997,0.3829235671718793,0.0119661710394411,0.1974448691056602,29.576892722538474,39.1156302974509,34.34626150999469
ade6f3b3-abdd-4343-9b96-3007337822ac,XGBoost,,,,15,1790.2994384765625,2393.621210634632,6.5563641603490455,-0.2415643957342614,1555.6685791015625,2149.765568614401,5.718012035480212,-0.0007570298664352,1672.9840087890625,2271.6933896245164,6.1371880979146285,-0.1211607128003483,1728.5943603515625,4191.936306768031,62.85525342620334,0.8791568858685472,2288.213134765625,5689.867836777933,63.48188455685189,0.775955417705082,2008.4037475585935,4940.902071772982,63.168568991527614,0.8275561517868146,1790.2994384765625,2393.6212106346316,6.5563641603490455,-0.24156439573426147,1555.6685791015625,2149.765568614401,5.7180120354802115,-0.0007570298664352215,1672.9840087890625,2271.6933896245164,6.1371880979146285,-0.12116071280034835,1728.5943603515625,4191.936306768031,62.85525342620334,0.8791568858685472,2288.213134765625,5689.867836777933,63.48188455685189,0.775955417705082,2008.4037475585938,4940.902071772982,63.168568991527614,0.8275561517868146,1728.5943603515625,2288.213134765625,2008.4037475585935,4191.936306768031,5689.867836777933,4940.902071772982,0.8791568858685472,0.775955417705082,0.8275561517868146,62.85525342620334,63.48188455685189,63.168568991527614
79e54d03-0f0f-41f8-a6a8-d6e2dbf7e012,XGBoost,,,,15,1372.357421875,2797.5124664601585,27.08748295398157,0.6930417165692153,1362.5833740234375,2737.0594622696817,35.238951512389804,0.7086272537780066,1367.4703979492188,2767.28596436492,31.16321723318569,0.700834485173611,2059.488037109375,3227.009761373523,35.61279869960605,0.6175974392632471,1969.51806640625,3279.941462892288,35.11362386837966,0.6053630609603149,2014.5030517578125,3253.4756121329056,35.363211283992854,0.611480250111781,1372.357421875,2797.5124664601585,27.087482953981574,0.6930417165692153,1362.5833740234375,2737.0594622696817,35.238951512389804,0.7086272537780066,1367.4703979492188,2767.28596436492,31.16321723318569,0.700834485173611,2059.488037109375,3227.009761373523,35.61279869960605,0.6175974392632471,1969.51806640625,3279.9414628922877,35.11362386837966,0.6053630609603149,2014.5030517578125,3253.4756121329056,35.363211283992854,0.611480250111781,2059.488037109375,1969.51806640625,2014.5030517578125,3227.009761373523,3279.941462892288,3253.4756121329056,0.6175974392632471,0.6053630609603149,0.611480250111781,35.61279869960605,35.11362386837966,35.363211283992854
10020b75-e523-45b8-8905-4763865d6e19,XGBoost,,,,15,1798.78125,2434.4500405635767,21.70917371002708,-0.0931215532478595,1812.695068359375,2340.1026686878504,21.95331563099759,-0.0041011588014492,1805.7381591796875,2387.276354625714,21.831244670512334,-0.0486113560246543,2065.2626953125,2513.05799773901,24.971932276791208,-0.1972791178955562,2006.07958984375,2477.898504781824,24.44218088438449,-0.2286735273577174,2035.671142578125,2495.478251260417,24.707056580587853,-0.2129763226266368,1798.78125,2434.4500405635767,21.709173710027077,-0.09312155324785953,1812.695068359375,2340.1026686878504,21.95331563099759,-0.004101158801449234,1805.7381591796875,2387.276354625714,21.831244670512334,-0.048611356024654384,2065.2626953125,2513.05799773901,24.971932276791208,-0.1972791178955562,2006.07958984375,2477.898504781824,24.442180884384495,-0.2286735273577174,2035.671142578125,2495.478251260417,24.707056580587853,-0.2129763226266368,2065.2626953125,2006.07958984375,2035.671142578125,2513.05799773901,2477.898504781824,2495.478251260417,-0.1972791178955562,-0.2286735273577174,-0.2129763226266368,24.971932276791208,24.44218088438449,24.707056580587853
788824e1-39d8-468d-baa1-c0649a20fb08,XGBoost,,,,15,1960.8135986328125,3778.91889301689,127.84402337616724,0.7566853607142283,2271.153076171875,4170.06714574238,129.76419954948483,0.7077298192043909,2115.983337402344,3974.493019379635,128.80411146282603,0.7322075899593097,2420.42724609375,4067.1922747762974,97.22876612252811,0.6944492283532695,2667.033203125,4407.653117022709,100.55637123655404,0.641064241836016,2543.730224609375,4237.422695899504,98.89256867954109,0.6677567350946427,1960.8135986328125,3778.9188930168903,127.84402337616723,0.7566853607142283,2271.153076171875,4170.06714574238,129.76419954948483,0.7077298192043909,2115.9833374023438,3974.493019379635,128.80411146282603,0.7322075899593097,2420.42724609375,4067.1922747762983,97.22876612252811,0.6944492283532695,2667.033203125,4407.653117022709,100.55637123655403,0.641064241836016,2543.730224609375,4237.422695899504,98.89256867954107,0.6677567350946427,2420.42724609375,2667.033203125,2543.730224609375,4067.1922747762974,4407.653117022709,4237.422695899504,0.6944492283532695,0.641064241836016,0.6677567350946427,97.22876612252811,100.55637123655404,98.89256867954109
7f1a43fb-9559-4d4c-af83-aadca7fd6686,XGBoost,,,,15,3236.544189453125,4264.812070888939,49.20268459164605,0.1666685865202917,3217.402099609375,4299.096184083348,48.67852874985768,0.1522232160206177,3226.97314453125,4281.954127486144,48.94060667075186,0.1594459012704547,2686.49169921875,3515.931597741913,86.12106631078156,0.4713613872234014,2688.167724609375,3561.1478486577894,86.03665571185678,0.4574422076080949,2687.3297119140625,3538.539723199852,86.07886101131916,0.4644017974157481,3236.544189453125,4264.812070888939,49.20268459164605,0.1666685865202917,3217.402099609375,4299.096184083348,48.67852874985768,0.15222321602061772,3226.97314453125,4281.954127486144,48.94060667075186,0.15944590127045472,2686.49169921875,3515.931597741913,86.12106631078156,0.4713613872234014,2688.167724609375,3561.1478486577894,86.03665571185678,0.45744220760809495,2687.3297119140625,3538.5397231998513,86.07886101131916,0.46440179741574816,2686.49169921875,2688.167724609375,2687.3297119140625,3515.931597741913,3561.1478486577894,3538.539723199852,0.4713613872234014,0.4574422076080949,0.4644017974157481,86.12106631078156,86.03665571185678,86.07886101131916
7ceee0a4-350f-401d-82a8-2bda9832268e,XGBoost,,,,15,3205.395263671875,3958.189864066655,33.802536437702344,0.0904615090773368,3277.110595703125,4032.559856964308,34.6844901319654,0.0118534059325938,3241.2529296875,3995.3748605154815,34.24351328483387,0.0511574575049653,3756.915283203125,4329.37662949298,39.43111735654331,-0.0327791020048997,3840.987548828125,4526.3972428411535,40.198482332599,-0.1404137518398251,3798.951416015625,4427.886936167067,39.81479984457116,-0.0865964269223624,3205.395263671875,3958.1898640666545,33.802536437702344,0.09046150907733685,3277.110595703125,4032.559856964308,34.6844901319654,0.011853405932593875,3241.2529296875,3995.3748605154815,34.24351328483387,0.051157457504965365,3756.915283203125,4329.37662949298,39.43111735654331,-0.03277910200489975,3840.987548828125,4526.3972428411535,40.198482332599,-0.14041375183982518,3798.951416015625,4427.886936167067,39.814799844571155,-0.08659642692236247,3756.915283203125,3840.987548828125,3798.951416015625,4329.37662949298,4526.3972428411535,4427.886936167067,-0.0327791020048997,-0.1404137518398251,-0.0865964269223624,39.43111735654331,40.198482332599,39.81479984457116
