number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.01964602107182145,2026-02-23 02:53:58.247601,2026-02-23 02:54:01.067618,0 days 00:00:02.820017,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.028457576408982277, 'RMSE_15m': 0.04796118489838711, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.010834465734660625, 'RMSE_30m': 0.013013714344282269, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.01964602107182145, 'RMSE_avg': 0.030487449621334692, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.048178259283304214,COMPLETE
1,0.06493888795375824,2026-02-23 02:54:01.068177,2026-02-23 02:54:03.368225,0 days 00:00:02.300048,0.2,64,0.0002692655251486473,32,,0.06493888795375824,PRUNED
2,0.05314136669039726,2026-02-23 02:54:03.368754,2026-02-23 02:54:05.614750,0 days 00:00:02.245996,0.3,32,0.000117115099555241,96,,0.05314136669039726,PRUNED
3,0.06319213658571243,2026-02-23 02:54:05.615257,2026-02-23 02:54:09.124977,0 days 00:00:03.509720,0.3,32,0.00044684675025045853,64,,0.06319213658571243,PRUNED
4,0.06954264640808105,2026-02-23 02:54:09.125620,2026-02-23 02:54:11.756863,0 days 00:00:02.631243,0.3,64,0.00018752209455786411,32,,0.06954264640808105,PRUNED
5,0.10587726533412933,2026-02-23 02:54:11.757362,2026-02-23 02:54:14.205354,0 days 00:00:02.447992,0.2,32,0.0003023795012558478,96,,0.10587726533412933,PRUNED
6,0.1553097814321518,2026-02-23 02:54:14.205914,2026-02-23 02:54:16.513482,0 days 00:00:02.307568,0.2,96,0.002869139536545374,96,,0.1553097814321518,PRUNED
7,0.04339828807860613,2026-02-23 02:54:16.514020,2026-02-23 02:54:19.253591,0 days 00:00:02.739571,0.0,32,0.0001483039268456802,32,"{'MAE_15m': 0.06046827509999275, 'RMSE_15m': 0.0861428527429794, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.026328301057219505, 'RMSE_30m': 0.03471481824620472, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.04339828807860613, 'RMSE_avg': 0.06042883549459206, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.05064444988965988,COMPLETE
8,0.08203491568565369,2026-02-23 02:54:19.254165,2026-02-23 02:54:21.532049,0 days 00:00:02.277884,0.3,32,0.0004983319160125723,96,,0.08203491568565369,PRUNED
9,0.07140204310417175,2026-02-23 02:54:21.532584,2026-02-23 02:54:23.779451,0 days 00:00:02.246867,0.0,96,0.00014433402406338895,64,,0.07140204310417175,PRUNED
