number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,1.7355584562133245e-25,2026-02-23 03:16:12.583635,2026-02-23 03:16:14.456610,0 days 00:00:01.872975,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,9.65822982834652e-05,2026-02-23 03:16:14.457341,2026-02-23 03:16:14.692593,0 days 00:00:00.235252,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,1.780208691570806e-07,2026-02-23 03:16:14.693336,2026-02-23 03:16:14.824317,0 days 00:00:00.130981,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,9.091256288229488e-06,2026-02-23 03:16:14.825121,2026-02-23 03:16:15.016491,0 days 00:00:00.191370,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,4.774962951688906e-18,2026-02-23 03:16:15.017220,2026-02-23 03:16:15.076207,0 days 00:00:00.058987,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,0.05389116331934929,2026-02-23 03:16:15.076876,2026-02-23 03:16:15.143656,0 days 00:00:00.066780,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,2.802596928649634e-45,2026-02-23 03:16:15.144331,2026-02-23 03:16:15.383054,0 days 00:00:00.238723,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,0.056106943637132645,2026-02-23 03:16:15.383784,2026-02-23 03:16:15.447445,0 days 00:00:00.063661,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,0.0012602730421349406,2026-02-23 03:16:15.448123,2026-02-23 03:16:15.569902,0 days 00:00:00.121779,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,1.4865355169035865e-08,2026-02-23 03:16:15.570630,2026-02-23 03:16:15.636995,0 days 00:00:00.066365,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,2.802596928649634e-45,2026-02-23 03:16:15.637669,2026-02-23 03:16:16.012968,0 days 00:00:00.375299,0.9935496864584779,4.883839283223654,0.18255631599020622,2,10,1200,14.730992938434454,0.6071847502459279,COMPLETE
11,2.802596928649634e-45,2026-02-23 03:16:16.013720,2026-02-23 03:16:16.399697,0 days 00:00:00.385977,0.9895680834513327,4.842465731220766,0.19550037029615172,2,10,1200,18.046579829698008,0.6068744601075835,COMPLETE
